policy_id,title,group,status,candidate_wording,desc
856,Powers of Government Ministers,Constitutional Reform,draft,"[MP name] generally voted for more **powers for government ministers**
[MP name] generally voted against more **powers for government ministers**",There have been votes in Parliament on if Government ministers should have more powers.
6917,Powers of the Monarch,Constitutional Reform,rejected,"[MP name] generally voted for more **powers for the monarch**
[MP name] generally voted against more **powers for the monarch**",There have been votes in Parliament on if the monarch should have powers to dissolve Parliament and prompt a general election.
6788,Increase the State Pension Age for Women More Slowly,"Welfare, Benefits and Pensions",candidate,"[MP name] generally voted for **increasing the state pension age for women more slowly**
[MP name] generally voted against **increasing the state pension age for women more slowly**",There have been votes in Parliament on the speed of the increase in the state pension age for women. The increase was in pursuit of a policy of moving to the same state pension age for men and women.
6971,Suspending MPs or Reducing their Salaries,Miscellaneous Topics,draft,"[MP name] generally voted for **suspending MPs or reducing their salaries** in specific cases
[MP name] generally voted against **suspending MPs or reducing their salaries** in specific cases","There have been votes in Parliament on if to suspend MPs from the House of Commons, or if to reduce their salaries, in light of particular case-specific circumstances."
6789,Powers of the Devolved Administration in Northern Ireland,Constitutional Reform,candidate,"[MP name] generally voted for **more powers for** the devolved administration in **Northern Ireland**
[MP name] generally voted against **more powers for** the devolved administration in **Northern Ireland**",There have been votes in Parliament on the powers of the devolved administration in Northern Ireland.
6831,Employment rights,Taxation and Employment,rejected,"[MP name] generally voted for **employment rights**
[MP name] generally voted against **employment rights**",There have been votes in Parliament on making dismissing a worker and rehiring them on less-favourable terms illegal and on preventing international trade agreements damaging employee rights.
6844,Child Protection,Home Affairs,rejected,"[MP name] generally voted for **child protection** measures
[MP name] generally voted against **child protection** measures",There have been votes in Parliament on protecting children from harm various contexts including: online; as victims of crime and in relation to health.
6852,Sentencing,Justice,rejected,"[MP name] generally voted for **tougher sentences for crimes**
[MP name] generally voted against **tougher sentences for crimes**","There have been votes in Parliament on the maximum and minimum sentences for various offences and on what factors should be considered as aggravating or mitigating offences.

New justice category as proposed elsewhere"
6854,Fire Safety,Housing,candidate,"[MP name] generally voted for **fire safety measures**
[MP name] generally voted against **fire safety measures**","There have been votes in Parliament on fire safety measures, including requirements for inspections and data sharing with fire services."
6885,Support for Small and Medium Sized Businesses,Business and the Economy,rejected,"[MP name] generally voted for support for **small and medium sized businesses**
[MP name] generally voted against support for **small and medium sized businesses**","There have been votes in Parliament on specific support for small and medium sized businesses, primarily though the tax system but also via approaches to public sector procurement, regulation and enforcement."
6845,Support for Marriage and Civil Partnerships,Social Issues,draft,"[MP name] generally voted for supporting **marriage and civil partnerships**
[MP name] generally voted against supporting **marriage and civil partnerships**","There have been votes in Parliament on support for marriage and civil partnerships. The votes primarily relate to support via the tax system, but also cover equalities law and funding counselling for those applying to end a marriage or civil partnership."
6851,Standards for Imported Goods,Business and the Economy,candidate,"[MP name] generally voted for requiring **imported goods** to meet **domestic standards**
[MP name] generally voted against requiring **imported goods** to meet **domestic standards**",There have been votes in Parliament on if the standards applying to imported goods should equal those applying in the United Kingdom
6857,Free Internal Market Within the United Kingdom,Miscellaneous Topics,candidate,"[MP name] generally voted for the **free movement** of goods, and mutual recognition of qualifications, **within the United Kingdom**
[MP name] generally voted against the **free movement** of goods, and mutual recognition of qualifications, **within the United Kingdom**","There have been votes in Parliament on the free movement of goods, and mutual recognition of professional qualifications, within the United Kingdom."
6958,The Republic of Ireland - Northern Ireland Border,Miscellaneous Topics,draft,"[MP name] generally voted for **avoiding physical infrastructure at the border between the Republic of Ireland and Northern Ireland**
[MP name] generally voted against **avoiding physical infrastructure at the border between the Republic of Ireland and Northern Ireland**","There have been votes in Parliament which would impact if a ""hard border"", with infrastructure to enable checks on people and goods crossing the border, between Northern Ireland and the Republic of Ireland was required."
6859,International Treaty Obligations,Foreign Policy and Defence,candidate,"[MP name] generally voted for fulfilling **international treaty obligations**
[MP name] generally voted against fulfilling **international treaty obligations**","There have been votes in Parliament on the fulfilment of international treaty obligations. Specific votes have covered compliance with the agreement between the European Union and the United Kingdom on the United Kingdom's withdrawal from the union, and the treatment of those seeking asylum."
6861,Free School Meals During School Holidays,Education,rejected,"[MP name] generally voted for the provision of **free school meals** to eligible children **during school holidays**
[MP name] generally voted against the provision of **free school meals** to eligible children **during school holidays**","There have been votes in Parliament on if meals should continue to be funded, or provided, during school holidays for those who receive free school meals during term time."
6862,Planning Law,Housing,candidate,"[MP name] generally voted for more **restrictive planning laws**
[MP name] generally voted against more **restrictive planning laws**",There have been votes in Parliament on if planning laws should be relaxed on strengthened.
